Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
2         ,8         ,002_docked_11.sdf        ,008_docked_2.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:22,22:23,24:24
2         ,9         ,002_docked_11.sdf        ,009_docked_3.sdf         ,0.70469        ,0.70469        ,0.70469        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:19,18:20,19:21,20:22,21:23,22:17,24:24
2         ,10        ,002_docked_11.sdf        ,010_docked_4.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:16,16:15,17:17,18:18,19:19,20:20,21:21,22:22,24:23
2         ,11        ,002_docked_11.sdf        ,011_docked_5.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:17,17:18,18:19,19:20,20:21,21:22,22:16,24:23
2         ,12        ,002_docked_11.sdf        ,012_docked_6.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,24:23
2         ,13        ,002_docked_11.sdf        ,013_docked_7.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:19,18:20,19:22,20:21,21:17,22:23,24:24
2         ,14        ,002_docked_11.sdf        ,014_docked_9.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,24:23
3         ,4         ,003_docked_12.sdf        ,004_docked_13.sdf        ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:21,24:24
3         ,5         ,003_docked_12.sdf        ,005_docked_14.sdf        ,0.74082        ,0.74082        ,0.74082        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:22,17:15,18:16,19:18,20:19,21:20,23:21,24:23
3         ,6         ,003_docked_12.sdf        ,006_docked_15.sdf        ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,17:15,18:16,19:18,20:19,21:20,22:21,23:22,24:23
3         ,7         ,003_docked_12.sdf        ,007_docked_16.sdf        ,0.74082        ,0.74082        ,0.74082        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:16,16:23,17:15,18:18,19:19,20:20,21:21,22:17,23:22,24:24
3         ,8         ,003_docked_12.sdf        ,008_docked_2.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:21,24:24
3         ,9         ,003_docked_12.sdf        ,009_docked_3.sdf         ,0.04979        ,0.04979        ,0.04979        ,No        ,6:6,11:11,12:12,13:13,14:14,20:22,21:21,24:24
3         ,10        ,003_docked_12.sdf        ,010_docked_4.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:12,12:11,13:13,14:14,20:19,21:20,24:23
3         ,11        ,003_docked_12.sdf        ,011_docked_5.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:12,12:11,13:13,14:14,20:20,21:21,24:23
3         ,12        ,003_docked_12.sdf        ,012_docked_6.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:21,24:23
3         ,13        ,003_docked_12.sdf        ,013_docked_7.sdf         ,0.04979        ,0.04979        ,0.04979        ,No        ,6:6,11:11,12:12,13:13,14:14,20:21,21:22,24:24
3         ,14        ,003_docked_12.sdf        ,014_docked_9.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:12,12:11,13:13,14:14,20:20,21:21,24:23
4         ,5         ,004_docked_13.sdf        ,005_docked_14.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,20:19,21:20,24:23
4         ,6         ,004_docked_13.sdf        ,006_docked_15.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,20:19,21:20,24:23
4         ,7         ,004_docked_13.sdf        ,007_docked_16.sdf        ,0.24660        ,0.24660        ,0.24660        ,Yes       ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:12,12:11,13:13,14:14,15:18,18:15,20:20,21:21,22:10,24:24
4         ,8         ,004_docked_13.sdf        ,008_docked_2.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:20,21:21,22:23,24:24,25:17
