Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
4         ,11        ,004_docked_14.sdf        ,011_docked_6.sdf         ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:18,17:16,18:19,19:20,20:21,21:22,23:23
4         ,12        ,004_docked_14.sdf        ,012_docked_7.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:22,20:21,23:24
4         ,13        ,004_docked_14.sdf        ,013_docked_8.sdf         ,0.04979        ,0.04979        ,0.04979        ,No        ,6:6,11:11,12:13,13:12,14:14,19:21,20:20
4         ,14        ,004_docked_14.sdf        ,014_docked_9.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:23
4         ,15        ,004_docked_14.sdf        ,015_docked_xtal_1.sdf    ,0.06721        ,0.06721        ,0.06721        ,No        ,6:7,11:14,12:16,13:15,14:17,19:24,20:23,23:29
5         ,6         ,005_docked_15.sdf        ,006_docked_16.sdf        ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:18,17:16,18:19,19:21,20:20,21:17,22:22,23:24
5         ,7         ,005_docked_15.sdf        ,007_docked_2.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:18,17:16,18:19,19:20,20:21,21:22,22:23,23:24
5         ,8         ,005_docked_15.sdf        ,008_docked_3.sdf         ,0.30119        ,0.30119        ,0.30119        ,No        ,0:1,1:0,2:9,5:23,6:6,7:8,8:7,9:2,11:12,12:11,13:13,14:14,15:19,16:15,19:22,20:21,21:5,22:10,23:24
5         ,9         ,005_docked_15.sdf        ,009_docked_4.sdf         ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:17,17:16,18:18,19:19,20:20,21:21,22:22,23:23
5         ,10        ,005_docked_15.sdf        ,010_docked_5.sdf         ,0.36788        ,0.36788        ,0.36788        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,10:22,11:12,12:11,13:13,14:14,15:17,16:16,19:21,20:20,21:10,22:18,23:23
5         ,11        ,005_docked_15.sdf        ,011_docked_6.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,11:12,12:11,13:13,14:14,15:15,16:22,19:21,20:20,21:10,22:18,23:23
5         ,12        ,005_docked_15.sdf        ,012_docked_7.sdf         ,0.28650        ,0.28650        ,0.28650        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,10:10,11:12,12:11,13:13,14:14,17:16,18:20,19:22,20:21,23:24
5         ,13        ,005_docked_15.sdf        ,013_docked_8.sdf         ,0.52205        ,0.52205        ,0.52205        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:13,12:11,13:12,14:14,15:15,16:18,17:16,18:19,19:20,20:21,21:17,22:22
5         ,14        ,005_docked_15.sdf        ,014_docked_9.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:18,17:16,18:19,19:21,20:20,21:17,22:22,23:23
5         ,15        ,005_docked_15.sdf        ,015_docked_xtal_1.sdf    ,0.70469        ,0.70469        ,0.70469        ,No        ,0:1,1:2,2:3,3:4,4:5,5:6,6:7,7:8,8:9,9:10,10:12,11:16,12:14,13:15,14:17,15:0,16:21,17:13,18:22,19:23,20:24,21:25,22:11,23:29
6         ,7         ,006_docked_16.sdf        ,007_docked_2.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:22,18:18,19:19,20:21,21:20,22:23,24:24,26:17
6         ,8         ,006_docked_16.sdf        ,008_docked_3.sdf         ,0.04505        ,0.04505        ,0.04505        ,No        ,6:6,11:11,12:12,13:13,14:14,20:22,21:21,24:24
6         ,9         ,006_docked_16.sdf        ,009_docked_4.sdf         ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:21,18:17,19:18,20:20,21:19,22:22,24:23,25:25,26:24
6         ,10        ,006_docked_16.sdf        ,010_docked_5.sdf         ,0.27253        ,0.27253        ,0.27253        ,No        ,0:1,1:0,2:9,5:22,6:6,7:8,8:7,9:2,11:11,12:12,13:13,14:14,15:18,18:17,20:21,21:20,22:10,24:23
6         ,11        ,006_docked_16.sdf        ,011_docked_6.sdf         ,0.28650        ,0.28650        ,0.28650        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,11:11,12:12,13:13,14:14,15:15,18:22,20:20,21:21,22:18,24:23,25:25,26:26
6         ,12        ,006_docked_16.sdf        ,012_docked_7.sdf         ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:17,18:19,19:20,20:21,21:22,22:23,24:24,28:18
6         ,13        ,006_docked_16.sdf        ,013_docked_8.sdf         ,0.63763        ,0.63763        ,0.63763        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:13,13:12,14:14,15:15,16:16,17:17,18:18,19:19,20:21,21:20,22:22
6         ,14        ,006_docked_16.sdf        ,014_docked_9.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,24:23,25:24,26:25,27:27,28:28
6         ,15        ,006_docked_16.sdf        ,015_docked_xtal_1.sdf    ,0.74082        ,0.74082        ,0.74082        ,No        ,0:1,1:2,2:3,3:4,4:5,5:6,6:7,7:8,8:9,9:10,10:12,11:14,12:16,13:15,14:17,15:0,16:13,17:25,18:21,19:22,20:24,21:23,22:11,24:29,25:19,26:18
7         ,8         ,007_docked_2.sdf         ,008_docked_3.sdf         ,0.12246        ,0.12246        ,0.12246        ,No        ,0:1,1:0,2:9,5:23,6:6,7:8,8:7,9:2,11:11,12:12,13:13,14:14,15:19,18:15,20:22,21:21,22:5,23:10,24:24
7         ,9         ,007_docked_2.sdf         ,009_docked_4.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:26,18:17,19:18,20:19,21:20,22:21,23:22,24:23
7         ,10        ,007_docked_2.sdf         ,010_docked_5.sdf         ,0.27253        ,0.27253        ,0.27253        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,10:22,11:11,12:12,13:13,14:14,15:17,18:16,20:21,21:20,22:10,23:18,24:23
7         ,11        ,007_docked_2.sdf         ,011_docked_6.sdf         ,0.28650        ,0.28650        ,0.28650        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,11:11,12:12,13:13,14:14,15:15,17:24,18:22,20:21,21:20,22:10,23:18,24:23
7         ,12        ,007_docked_2.sdf         ,012_docked_7.sdf         ,0.49659        ,0.49659        ,0.49659        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,18:19,19:20,20:22,21:21,22:17,23:23,24:24
7         ,13        ,007_docked_2.sdf         ,013_docked_8.sdf         ,0.57695        ,0.57695        ,0.57695        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:13,13:12,14:14,15:15,16:16,18:18,19:19,20:20,21:21,22:17,23:22
7         ,14        ,007_docked_2.sdf         ,014_docked_9.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:26,18:18,19:19,20:21,21:20,22:17,23:22,24:23
7         ,15        ,007_docked_2.sdf         ,015_docked_xtal_1.sdf    ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:1,1:2,2:3,3:4,4:5,5:6,6:7,7:8,8:9,9:10,10:12,11:14,12:16,13:15,14:17,15:0,16:13,17:20,18:21,19:22,20:23,21:24,22:25,23:11,24:29
8         ,9         ,008_docked_3.sdf         ,009_docked_4.sdf         ,0.13534        ,0.13534        ,0.13534        ,No        ,0:1,1:0,2:9,5:21,6:6,7:8,8:7,9:2,10:22,11:11,12:12,13:13,14:14,15:17,19:15,21:20,22:19,23:5,24:23
8         ,10        ,008_docked_3.sdf         ,010_docked_5.sdf         ,0.36788        ,0.36788        ,0.36788        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,19:18,20:19,21:21,22:20,23:22,24:23
8         ,11        ,008_docked_3.sdf         ,011_docked_6.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:22,19:18,20:19,21:20,22:21,23:17,24:23
8         ,12        ,008_docked_3.sdf         ,012_docked_7.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,21:21,22:22,24:24
8         ,13        ,008_docked_3.sdf         ,013_docked_8.sdf         ,0.09072        ,0.09072        ,0.09072        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:11,12:13,13:12,14:14,15:18,19:15,21:21,22:20,23:5
8         ,14        ,008_docked_3.sdf         ,014_docked_9.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,21:20,22:21,24:23
8         ,15        ,008_docked_3.sdf         ,015_docked_xtal_1.sdf    ,0.12246        ,0.12246        ,0.12246        ,No        ,0:2,1:1,2:10,5:25,6:7,7:9,8:8,9:3,11:14,12:16,13:15,14:17,15:21,19:0,21:24,22:23,23:6,24:29
9         ,10        ,009_docked_4.sdf         ,010_docked_5.sdf         ,0.30119        ,0.30119        ,0.30119        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,10:22,11:11,12:12,13:13,14:14,15:17,17:16,19:21,20:20,21:10,22:18,23:23
9         ,11        ,009_docked_4.sdf         ,011_docked_6.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:9,2:8,6:6,7:7,8:2,9:1,11:11,12:12,13:13,14:14,15:15,17:22,19:21,20:20,21:10,22:18,23:23,24:25,25:26,26:24
